id,label
10.1007/3-540-36151-0_31,Some Applications of Orderly Spanning Trees in Graph Drawing
10.1007/3-540-45848-4_30,Disconnected Graph Layout and the Polyomino Packing Approach
10.1007/3-540-36151-0_32,Improving Walker＊s Algorithm to Run in Linear Time
10.1007/3-540-36151-0_33,Semi-dynamic Orthogonal Drawings of Planar Graphs
10.1007/3-540-36151-0_34,Graph Layout for Workflow Applications with ILOG JViews
10.1007/3-540-45848-4_35,The ILOG JViews Graph Layout Module
10.1007/3-540-36151-0_35,InterViewer: Dynamic Visualization of Protein-Protein Interactions
10.1007/3-540-45848-4_34,Tulip
10.1007/3-540-36151-0_36,Some Modifications of Sugiyama Approach
10.1007/3-540-45848-4_33,On Polar Visibility Representations of Graphs
10.1007/3-540-36151-0_37,A Framework for Complexity Management in Graph Visualization
10.1007/3-540-45848-4_32,Polar Coordinate Drawing of Planar Graphs with Good Angular Resolution
10.1007/3-540-36151-0_38,A Partitioned Approach to Protein Interaction Mapping
10.1007/3-540-45848-4_39,CrocoCosmos
10.1007/3-540-45848-4_38,Exploration and Visualization of Computer Networks: Polyphemus and Hermes
10.1007/3-540-45848-4_37,WilmaScope〞 An Interactive 3D Graph Visualisation System
10.1007/3-540-45848-4_36,WAVE
10.1007/3-540-36151-0_40,Demonstration of a Preprocessor for the Spring Embedder
10.1007/3-540-36151-0_41,Graph-Drawing Contest Report
10.1007/3-540-36151-0_28,Geometric Graphs with No Self-intersecting Path of Length Three
10.1007/3-540-36151-0_29,Two New Heuristics for Two-Sided Bipartite Graph Drawing
10.1007/3-540-45848-4_20,Recognizing String Graphs Is Decidable
10.1007/3-540-36151-0_20,Graph Drawing by High-Dimensional Embedding
10.1007/3-540-36151-0_21,Advances in C-Planarity Testing of Clustered Graphs
10.1007/3-540-36151-0_22,"HGV: A Library for Hierarchies, Graphs, and Views"
10.1007/3-540-36151-0_23,Rectangular Drawings of Planar Graphs
10.1007/3-540-45848-4_24,Orthogonal Drawings with Few Layers
10.1007/3-540-36151-0_24,Extended Rectangular Drawings of Plane Graphs with Designated Corners
10.1007/3-540-45848-4_23,Towards an Aesthetic Invariant for Graph Drawing
10.1007/3-540-36151-0_25,RINGS: A Technique for Visualizing Large Hierarchies
10.1007/3-540-45848-4_22,A Short Note on the History of Graph Drawing
10.1007/3-540-36151-0_26,Applying Crossing Reduction Strategies to Layered Compound Graphs
10.1007/3-540-45848-4_21,On Intersection Graphs of Segments with Prescribed Slopes
10.1007/3-540-36151-0_27,Crossing Reduction by Windows Optimization
10.1007/3-540-45848-4_28,Insight into Data through Visualization
10.1007/3-540-45848-4_27,Low-Distortion Embeddings of Trees
10.1007/3-540-45848-4_26,Straight-Line Drawings on Restricted Integer Grids in Two and Three Dimensions
10.1007/3-540-45848-4_25,Bounded Degree Book Embeddings and Three-Dimensional Orthogonal Graph Drawing
10.1007/3-540-45848-4_29,Floor-Planning via Orderly Spanning Trees
10.1007/3-540-36151-0_30,Straight-Line Drawings of Binary Trees with Linear Area and Arbitrary Aspect Ratio
10.1007/978-3-319-27261-0_29,Drawing Graphs with Vertices and Edges in Convex Position
10.1007/978-3-319-27261-0_26,Simple Realizability of Complete Abstract Topological Graphs Simplified
10.1007/978-3-319-27261-0_25,Recognizing and Drawing IC-Planar Graphs
10.1007/978-3-319-27261-0_28,Representing Directed Trees as Straight Skeletons
10.1007/978-3-319-27261-0_27,The Utility of Untangling
10.1007/978-3-319-27261-0_22,Confluent Orthogonal Drawings of Syntax Diagrams
10.1007/978-3-319-27261-0_21,Displaying User Behavior in the Collaborative Graph Visualization System OnGraX
10.1007/978-3-319-27261-0_24,2-Layer Fan-Planarity: From Caterpillar to Stegosaurus
10.1007/978-3-319-27261-0_23,Kojaph: Visual Definition and Exploration of Patterns in Graph Databases
10.1007/978-3-319-27261-0_20,Combinatorial Properties of Triangle-Free Rectangle Arrangements and the Squarability Problem
10.1007/978-3-319-27261-0_19,Intersection-Link Representations of Graphs
10.1007/978-3-319-27261-0_18,On the Zarankiewicz Problem for Intersection Hypergraphs
10.1007/978-3-319-27261-0_15,Rook-Drawing for Plane Graphs
10.1007/978-3-319-27261-0_14,Simultaneous Embeddings with Few Bends and Crossings
10.1007/978-3-319-27261-0_17,Maximizing the Degree of (Geometric) Thickness-t Regular Graphs
10.1007/978-3-319-27261-0_16,On Minimizing Crossings in Storyline Visualizations
10.1007/978-3-319-27261-0_11,The Book Embedding Problem from a SAT-Solving Perspective
10.1007/978-3-319-27261-0_10,Drawing Planar Cubic 3-Connected Graphs with Few Segments: Algorithms and Experiments
10.1007/978-3-319-27261-0_13,Small-Area Orthogonal Drawings of 3-Connected Graphs
10.1007/978-3-319-27261-0_12,Size- and Port-Aware Horizontal Node Coordinate Assignment
10.1007/978-3-319-27261-0_48,SVEN: An Alternative Storyline Framework for Dynamic Graph Visualization
10.1007/978-3-319-27261-0_47,PED User Study
10.1007/978-3-319-27261-0_49,Knuthian Drawings of Series-Parallel Flowcharts
10.1007/978-3-319-27261-0_44,"Graduate Workshop Recent Trends in Graph Drawing: Curves, Graphs, and Intersections"
10.1007/978-3-319-27261-0_43,Graph Drawing Contest Report
10.1007/978-3-319-27261-0_46,On the Relationship Between Map Graphs and Clique Planar Graphs
10.1007/978-3-319-27261-0_45,L-Visibility Drawings of IC-Planar Graphs
10.1007/978-3-319-27261-0_40,A Tale of Two Communities: Assessing Homophily in Node-Link Diagrams
10.1007/3-540-58950-3_400,Poster gallery report
10.1007/978-3-319-27261-0_42,On the Readability of Boundary Labeling
10.1007/978-3-319-27261-0_41,Shape-Based Quality Metrics for Large Graph Visualization
10.1007/978-3-319-27261-0_37,Realization of Simply Connected Polygonal Linkages and Recognition of Unit Disk Contact Trees
10.1007/978-3-319-27261-0_36,Recognizing Weighted Disk Contact Graphs
10.1007/978-3-319-27261-0_39,Pixel and Voxel Representations of Graphs
10.1007/978-3-319-27261-0_38,Towards Characterizing Graphs with a Sliceable Rectangular Dual
10.1007/978-3-319-27261-0_33,On Embeddability of Buses in Point Sets
10.1007/978-3-319-27261-0_32,Alternating Paths and Cycles of Minimum Length
10.1007/978-3-319-27261-0_35,Linear-Size Universal Point Sets for One-Bend Drawings
10.1007/978-3-319-27261-0_34,A Universal Point Set for 2-Outerplanar Graphs
10.1007/978-3-319-27261-0_31,Vertical Visibility Among Parallel Polygons in Three Dimensions
10.1007/978-3-319-27261-0_30,Drawing Graphs Using a Small Number of Obstacles
10.1007/BFb0021789,The effect of graph layout on inference from social network data
10.1007/BFb0021788,New lower bounds for orthogonal graph drawings
10.1007/BFb0021785,Universal 3-Dimensional visibility representations for graphs
10.1007/BFb0021784,Quasi-planar graphs have a linear number of edges
10.1007/BFb0021787,Adocs: a drawing system for generic combinatorial structures
10.1007/BFb0021786,KGB a customizable graph browser
10.1007/978-3-642-25878-7_43,Drawing Graphs with Vertices at Specified Positions and Crossings at Large Angles
10.1007/BFb0021792,An experimental comparison of force-directed and randomized graph drawing algorithms
10.1007/978-3-642-25878-7_44,Viewport for Component Diagrams
10.1007/BFb0021791,Optimal algorithms to embed trees in a point set
10.1007/978-3-642-25878-7_41,Combining Problems on RAC Drawings and Simultaneous Graph Drawings
10.1007/BFb0021794,Fast interactive 3-D graph visualization
10.1007/978-3-642-25878-7_42,The Open Graph Archive: A Community-Driven Effort
10.1007/BFb0021793,On the complexity of recognizing intersection and touching graphs of disks
10.1007/978-3-642-25878-7_40,Upward Planarity Testing of Embedded Mixed Graphs
10.1007/BFb0021790,Drawing nice projections of objects in space
10.1007/978-3-642-11805-0_11,Upward Planarization Layout
10.1007/978-3-642-11805-0_10,Characterization of Unlabeled Radial Level Planar Graphs
10.1007/3-540-37623-2_47,Adding Constraints to an Algorithm for Orthogonal Graph Drawing
10.1007/3-540-37623-2_48,On Computing and Drawing Maxmin-Height Covering Triangulation
10.1007/3-540-37623-2_45,The Size of the Open Sphere of Influence Graph in L ﹢ Metric Spaces
10.1007/3-540-37623-2_46,Maximum Weight Triangulation and Graph Drawing
10.1007/BFb0021799,On a visibility representation of graphs
10.1007/3-540-37623-2_40,Multidimensional Outlines 〞 Wordgraphs
10.1007/978-3-642-25878-7_38,Upward Point Set Embeddability for Convex Point Sets Is in P
10.1007/978-3-642-25878-7_39,Classification of Planar Upward Embedding
10.1007/978-3-642-25878-7_36,Monotone Drawings of Graphs with Fixed Embedding
10.1007/BFb0021796,CABRI-Graph: A tool for research and teaching in graph theory
10.1007/3-540-37623-2_43,VGJ: Visualizing Graphs Through Java
10.1007/978-3-642-25878-7_37,On the Page Number of Upward Planar Directed Acyclic Graphs
10.1007/BFb0021795,GD-Workbench: A system for prototyping and testing graph drawing algorithms
10.1007/3-540-37623-2_44,A Library of Algorithms for Graph Drawing
10.1007/978-3-642-25878-7_34,Low Distortion Delaunay Embedding of Trees in Hyperbolic Plane
10.1007/BFb0021798,Upward numbering testing for triconnected graphs
10.1007/3-540-37623-2_41,VisA: A Tool for Visualizing and Animating Automata and Formal Languages
10.1007/978-3-642-25878-7_35,Hardness of Approximate Compaction for Nonplanar Orthogonal Graph Drawings
10.1007/BFb0021797,Graph folding: Extending detail and context viewing into a tool for subgraph comparisons
10.1007/3-540-37623-2_42,Elastic Labels on the Perimeter of a Rectangle
10.1007/978-3-642-11805-0_20,Removing Independently Even Crossings
10.1007/978-3-642-11805-0_22,Orthogonal Connector Routing
10.1007/978-3-642-11805-0_21,Manhattan-Geodesic Embedding of Planar Graphs
10.1007/978-3-642-11805-0_17,Succinct Greedy Drawings Do Not Always Exist
10.1007/978-3-642-11805-0_16,Leftist Canonical Ordering
10.1007/978-3-642-11805-0_19,Algebraic Methods for Counting Euclidean Embeddings of Rigid Graphs
10.1007/978-3-642-11805-0_18,Geometric Simultaneous Embeddings of a Graph and a Matching
10.1007/978-3-642-11805-0_13,WiGis: A Framework for Scalable Web-Based Interactive Graph Visualizations
10.1007/978-3-642-11805-0_12,More Flexible Radial Layout
10.1007/978-3-642-11805-0_15,Fast Edge-Routing for Large Graphs
10.1007/978-3-642-11805-0_14,Port Constraints in Hierarchical Layout of Data Flow Diagrams
10.1007/978-3-642-25878-7_47,Graph Drawing Contest Report
10.1007/978-3-642-25878-7_45,Shortest-Paths Preserving Metro Maps
10.1007/978-3-642-25878-7_46,"Challenger, a New Way to Visualize Data"
10.1007/3-540-37623-2_25,An Algorithm for Three-Dimensional Orthogonal Graph Drawing
10.1007/3-540-37623-2_26,Graph Multidrawing: Finding Nice Drawings Without Defining Nice
10.1007/3-540-37623-2_23,Refinement of Orthogonal Graph Drawings
10.1007/3-540-37623-2_24,A Combinatorial Framework for Map Labeling
10.1007/3-540-37623-2_29,A Fully Animated Interactive System for Clustering and Navigating Huge Graphs
10.1007/3-540-37623-2_27,Edge Labeling in the Graph Layout Toolkit
10.1007/3-540-37623-2_28,Improved Force-Directed Layouts
10.1007/3-540-37623-2_21,Proximity Drawings: Three Dimensions Are Better than Two
10.1007/3-540-37623-2_22,NP-Completeness of Some Tree-Clustering Problems
10.1007/3-540-37623-2_20,Embedding Planar Graphs at Fixed Vertex Locations
10.1007/3-540-37623-2_36,Planar Drawings of Origami Polyhedra
10.1007/3-540-37623-2_37,Human Perception of Laid-Out Graphs
10.1007/3-540-37623-2_34,Graph-Drawing Contest Report
10.1007/3-540-37623-2_35,Implementation of an Efficient Constraint Solver for the Layout of Graphs in Delaunay
10.1007/3-540-37623-2_38,Ptolomaeus:The Web Cartographer
10.1007/3-540-37623-2_39,Flexible Graph Layout and Editing for Commercial Applications
10.1007/3-540-37623-2_32,Visualization of Parallel Execution Graphs
10.1007/3-540-37623-2_33,JIGGLE: Java Interactive Graph Layout Environment
10.1007/3-540-37623-2_30,Drawing Large Graphs with H3Viewer and Site Manager
10.1007/3-540-37623-2_31,Cooperation between Interactive Actions and Automatic Drawing in a Schematic Editor
10.1007/3-540-36151-0_17,Compact Encodings of Planar Orthogonal Drawings
10.1007/3-540-36151-0_18,Fractional Lengths and Crossing Numbers
10.1007/3-540-36151-0_19,Drawing Directed Graphs Using One-Dimensional Optimization
10.1007/3-540-36151-0_10,A Branch-and-Cut Approach to the Directed Acyclic Graph Layering Problem
10.1007/3-540-36151-0_11,Geometric Systems of Disjoint Representatives
10.1007/3-540-36151-0_12,An Efficient Fixed Parameter Tractable Algorithm for 1-Sided Crossing Minimization
10.1007/3-540-36151-0_13,Simple and Efficient Bilayer Cross Counting
10.1007/3-540-36151-0_14,Orthogonal 3D Shapes of Theta Graphs
10.1007/3-540-36151-0_15,Separating Thickness from Geometric Thickness
10.1007/3-540-36151-0_16,Book Embeddings and Point-Set Embeddings of Series-Parallel Digraphs
10.1007/978-3-642-25878-7_10,Advances in the Planarization Method: Effective Multiple Edge Insertions
10.1007/978-3-642-25878-7_11,A Quantitative Comparison of Stress-Minimization Approaches for Offline Dynamic Graph Drawing
10.1007/3-540-37623-2_14,A Layout Adjustment Problem for Disjoint Rectangles Preserving Orthogonal Order
10.1007/3-540-37623-2_15,Drawing Algorithms for Series-Parallel Digraphs in Two and Three Dimensions
10.1007/3-540-37623-2_12,A Framework for Drawing Planar Graphs with Curves and Polylines
10.1007/3-540-37623-2_13,Planar Polyline Drawings with Good Angular Resolution
10.1007/3-540-37623-2_18,Crossing Number of Abstract Topological Graphs
10.1007/3-540-37623-2_19,Self-Organizing Graphs 〞 A Neural Network Perspective of Graph Layout
10.1007/3-540-37623-2_16,Approximation Algorithms for Finding Best Viewpoints
10.1007/3-540-37623-2_17,Level Planarity Testing in Linear Time
10.1007/3-540-37623-2_10,On Improving Orthogonal Drawings: The 4M-Algorithm
10.1007/3-540-37623-2_11,Algorithmic Patterns for Orthogonal Graph Drawing
10.1007/978-3-642-25878-7_21,"Visual Community Detection: An Evaluation of 2D, 3D Perspective and 3D Stereoscopic Displays"
10.1007/978-3-642-25878-7_22,Evaluating Partially Drawn Links for Directed Graph Edges
10.1007/978-3-642-25878-7_20,Optimizing a Radial Layout of Bipartite Graphs for a Tool Visualizing Security Alerts
10.1007/978-3-642-25878-7_18,Generalizing Geometric Graphs
10.1007/978-3-642-25878-7_19,How to Visualize the K-Root Name Server (Demo)
10.1007/978-3-642-25878-7_16,Pinning Balloons with Perfect Angles and Optimal Area
10.1007/978-3-642-25878-7_17,Approximate Proximity Drawings
10.1007/978-3-642-25878-7_14,Edge Routing with Ordered Bundles
10.1007/978-3-642-25878-7_15,Right Angle Crossing Graphs and 1-Planarity
10.1007/978-3-642-25878-7_12,Accelerated Bend Minimization
10.1007/978-3-642-25878-7_13,"TGI-EB: A New Framework for Edge Bundling Integrating Topology, Geometry and Importance"
10.1007/978-3-642-25878-7_32,Every Graph Admits an Unambiguous Bold Drawing
10.1007/978-3-642-25878-7_33,Adjacent Crossings Do Matter
10.1007/978-3-642-25878-7_30,Planar and Poly-arc Lombardi Drawings
10.1007/978-3-642-25878-7_31,Force-Directed Lombardi-Style Graph Drawing
10.1007/3-540-37623-2_6,Upward Planarity Checking: ※Faces Are More than Polygons§
10.1007/3-540-37623-2_5,Difference Metrics for Interactive Orthogonal Graph Drawing Algorithms
10.1007/3-540-37623-2_4,Using Graph Layout to Visualize Train Interconnection Data
10.1007/3-540-37623-2_3,Three Approaches to 3D-Orthogonal Box-Drawings
10.1007/3-540-37623-2_2,Quasi-Upward Planarity
10.1007/3-540-37623-2_1,Drawing of Two-Dimensional Irregular Meshes
10.1007/978-3-642-25878-7_29,Triangulations with Circular Arcs
10.1007/978-3-642-25878-7_27,Monotone Crossing Number
10.1007/978-3-642-25878-7_28,Upper Bound Constructions for Untangling Planar Geometric Graphs
10.1007/978-3-642-25878-7_25,Drawing Cubic Graphs with the Four Basic Slopes
10.1007/978-3-642-25878-7_26,k-Quasi-Planar Graphs
10.1007/978-3-642-25878-7_23,Realizing Planar Graphs as Convex Polytopes
10.1007/978-3-642-25878-7_24,Overloaded Orthogonal Drawings
10.1007/978-3-319-27261-0_7,On Degree Properties of Crossing-Critical Families of Graphs
10.1007/978-3-319-27261-0_8,"Genus, Treewidth, and Local Crossing Number"
10.1007/978-3-319-27261-0_5,Faster Force-Directed Graph Drawing with the Well-Separated Pair Decomposition
10.1007/978-3-319-27261-0_6,The Degenerate Crossing Number and Higher-Genus Embeddings
10.1007/978-3-319-27261-0_9,Hanani-Tutte for Radial Planarity
10.1007/978-3-319-27261-0_3,Drawing Large Graphs by Multilevel Maxent-Stress Optimization
10.1007/978-3-319-27261-0_4,A Million Edge Drawing for a Fistful of Dollars
10.1007/978-3-319-27261-0_1,GraphMaps: Browsing Large Graphs as Interactive Maps
10.1007/978-3-319-27261-0_2,An Incremental Layout Method for Visualizing Online Dynamic Graphs
10.1007/978-3-540-31843-9_1,Reconfiguring Triangulations with Edge Flips and Point Moves
10.1007/978-3-540-31843-9_2,Drawing Power Law Graphs
10.1007/978-3-540-31843-9_3,Hexagonal Grid Drawings: Algorithms and Lower Bounds
10.1007/978-3-540-31843-9_4,"Improved Bounds for the Number of (≒ k)-Sets, Convex Quadrilaterals, and the Rectilinear Crossing Number of K n"
10.1007/978-3-540-31843-9_5,On the Realizable Weaving Patterns of Polynomial Curves in \mathbb R^3
10.1007/978-3-540-31843-9_6,Drawing the AS Graph in 2.5 Dimensions
10.1007/978-3-540-31843-9_7,Boundary Labeling: Models and Efficient Algorithms for Rectangular Maps
10.1007/978-3-540-31843-9_8,Convex Drawings of 3-Connected Plane Graphs
10.1007/978-3-540-31843-9_9,Partitions of Complete Geometric Graphs into Plane Trees
10.1007/978-3-540-31843-9_12,Clustering Cycles into Cycles of Clusters
10.1007/978-3-540-31843-9_13,Unit Bar-Visibility Layouts of Triangulated Polygons
10.1007/978-3-540-31843-9_10,Additional PC-Tree Planarity Conditions
10.1007/978-3-540-31843-9_11,GraphML Transformation
10.1007/978-3-642-11805-0_46,DAGmaps and Dominance Relationships
10.1007/978-3-642-11805-0_45,Visualization of Complex BPEL Models
10.1007/978-3-642-11805-0_48,Graph Drawing Contest Report
10.1007/978-3-642-11805-0_47,Scaffold Hunter 每 Interactive Exploration of Chemical Space
10.1007/978-3-540-31843-9_20,Confluent Layered Drawings
10.1007/978-3-540-31843-9_23,Contact and Intersection Representations
10.1007/978-3-540-31843-9_24,Dynamic Graph Drawing of Sequences of Orthogonal and Hierarchical Graphs
10.1007/978-3-540-31843-9_21,Simultaneous Embedding of Planar Graphs with Few Bends
10.1007/978-3-540-31843-9_22,A Fast and Simple Heuristic for Constrained Two-Level Crossing Reduction
10.1007/978-3-540-31843-9_16,Label Number Maximization in the Slider Model
10.1007/978-3-540-31843-9_17,An Efficient Implementation of Sugiyama＊s Algorithm for Layered Graph Drawing
10.1007/978-3-540-31843-9_14,Really Straight Graph Drawings
10.1007/978-3-540-31843-9_15,Layouts of Graph Subdivisions
10.1007/978-3-540-31843-9_19,Algorithms for Drawing Media
10.1007/978-3-642-11805-0_31,3D Visibility Representations by Regular Polygons
10.1007/978-3-642-11805-0_30,Drawing Planar 3-Trees with Given Face-Areas
10.1007/978-3-642-11805-0_33,On Planar Supports for Hypergraphs
10.1007/978-3-642-11805-0_32,Complexity of Some Geometric and Topological Problems
10.1007/978-3-642-11805-0_28,Drawing Trees in a Streaming Model
10.1007/978-3-642-11805-0_27,Small Drawings of Series-Parallel Graphs and Other Subclasses of Planar Graphs
10.1007/978-3-642-11805-0_29,The Planar Slope Number of Planar Partial 3-Trees of Bounded Degree
10.1007/978-3-642-11805-0_24,Semi-bipartite Graph Visualization for Gene Ontology Networks
10.1007/978-3-642-11805-0_23,On Rectilinear Drawing of Graphs
10.1007/978-3-642-11805-0_26,A Novel Grid-Based Visualization Approach for Metabolic Networks with Advanced Focus und Context View
10.1007/978-3-642-11805-0_25,On Open Problems in Biological Network Visualization
10.1007/978-3-642-11805-0_42,IBM ILOG Graph Layout for Eclipse
10.1007/978-3-642-11805-0_41,4-Labelings and Grid Embeddings of Plane Quadrangulations
10.1007/978-3-642-11805-0_44,Proving or Disproving Planar Straight-Line Embeddability onto Given Rectangles
10.1007/978-3-642-11805-0_43,Layout Techniques Coupled with Web2.0-Based Business Process Modeling
10.1007/978-3-642-11805-0_40,On 老-Constrained Upward Topological Book Embeddings
10.1007/978-3-642-11805-0_39,Using High Dimensions to Compare Drawings of Graphs
10.1007/978-3-642-11805-0_38,GMap: Drawing Graphs as Maps
10.1007/978-3-642-11805-0_35,Drawing Directed Graphs Clockwise
10.1007/978-3-642-11805-0_34,DAGmaps and 汍-Visibility Representations of DAGs
10.1007/978-3-642-11805-0_37,Layout with Circular and Other Non-linear Constraints Using Procrustes Projection
10.1007/978-3-642-11805-0_36,An Improved Algorithm for the Metro-line Crossing Minimization Problem
